nr populacji, czas minimalny, czas maksymalny, czas sredni
0,588,751,662.57
1,588,672,619.26
2,556,648,600.4
3,556,625,587.72
4,545,617,574.93
5,545,598,559.63
6,545,590,554.63
7,531,601,549.93
8,531,581,546.2
9,531,582,545.51
10,528,570,540.82
11,512,572,536.35
12,512,577,532.53
13,516,565,527.71
14,516,566,523.73
15,507,559,520.98
16,507,561,521.58
17,507,553,518.73
18,507,567,518.18
19,504,569,513.53
20,504,543,510.84
21,504,564,512.31
22,504,543,509.03
23,504,541,507.16
24,492,549,510.86
25,492,543,506.59
26,492,544,505.86
27,492,537,501.93
28,492,552,499.06
29,492,587,500.55
30,492,564,498.07
31,492,529,499.43
32,492,530,496.62
33,492,530,498.15
34,492,528,497.29
35,492,547,498.28
36,492,548,497.65
37,492,546,497.48
38,492,554,499.93
39,492,531,496.9
40,492,545,499.09
41,492,535,498.56
42,492,552,497.6
43,492,545,496.47
44,492,540,499.24
45,492,531,499.46
46,492,532,497.5
47,492,532,498.01
48,492,529,498.81
49,492,545,499.4
50,492,529,496.1
51,492,556,498.63
52,492,551,498.64
53,492,543,497.66
54,492,560,500.51
55,492,545,498.35
56,492,568,499.01
57,492,559,499.14
58,492,575,497.7
59,492,530,497.45
60,492,553,499.52
61,492,549,498.1
62,492,531,498.32
63,492,545,500.66
64,492,548,497
65,492,532,496.86
66,492,528,496.86
67,492,531,496.11
68,492,558,498.66
69,492,528,496.11
70,492,529,500.91
71,492,543,498.43
72,492,540,500.4
73,492,532,497.93
74,492,529,497.49
75,492,560,498.25
76,492,548,497.46
77,492,532,496.34
78,492,544,498.69
79,492,547,500.06
80,492,541,496.31
81,492,531,497.45
82,492,542,497.89
83,492,531,496.96
84,492,529,498.59
85,492,562,498.19
86,492,531,500.02
87,492,537,497.41
88,492,557,500.29
89,492,543,496.94
90,492,550,499.09
91,492,531,495.82
92,492,531,499.13
93,492,537,496.44
94,492,542,497.37
95,492,530,498.2
96,492,530,497.83
97,492,604,498.02
98,492,529,497.8
99,492,541,497.07
